cf,x,y,z
1,0.5996515751,2.0510618687,0.0278958138
1,0.5979224443,2.0473856926,0.0279493053
1,0.5852075815,2.0458686352,0.0280821342
1,0.6018995047,2.0577931404,0.0284929294
1,0.5878742933,2.0530216694,0.028790677
1,0.5893320441,2.0537068844,0.0284532215
1,0.5806857347,2.0579636097,0.0287497062
1,0.5694730282,2.0563156605,0.0288470499
1,0.5630795956,2.0618596077,0.0291293245
1,0.5728808641,2.058480978,0.0293736178
1,0.5758405924,2.0653820038,0.029718088
1,0.5865681767,2.0644869804,0.0298966691
1,0.5737775564,2.0597381592,0.0289678462
1,0.5715491772,2.0664355755,0.0292913858
1,0.5701832771,2.0629813671,0.0294326954
1,0.5701594949,2.0630230904,0.0294757448
1,0.5913631916,2.0615780354,0.0274063759
1,0.5903964639,2.0587279797,0.0275006816
1,0.5931590796,2.0580458641,0.0276884101
1,0.6140058041,2.0567207336,0.0278146956
1,0.6027517319,2.0554335117,0.0279523302
1,0.6224672198,2.0569133759,0.0279024933
1,0.635461688,2.0614895821,0.0280916188
1,0.6399412751,2.0642006397,0.0281594601
1,0.6289183497,2.0636508465,0.0270281918
1,0.647642076,2.0618858337,0.0270860232
1,0.651557982,2.0683834553,0.0272467919
1,0.6777647734,2.0795016289,0.0277061611
1,0.6859436035,2.0769405365,0.0280319955
1,0.6792644262,2.0815474987,0.0278446283
1,0.6875165105,2.0789451599,0.0279911645
1,0.681020081,2.0836935043,0.0282718968
1,0.691475749,2.0856714249,0.0286133736
1,0.6892074347,2.0816943645,0.027855847
1,0.6800491214,2.0810952187,0.0279648975
1,0.6792451143,2.0781507492,0.0280366689
1,0.678183794,2.0786650181,0.0281487927
1,0.6884060502,2.0811998844,0.0285016038
1,0.6951463223,2.0785183907,0.0281666797
1,0.688788712,2.0832359791,0.0284442436
1,0.6970629096,2.0799012184,0.0286759511
1,0.6984191537,2.0852987766,0.0289815683
1,0.7187920809,2.0924150944,0.0284096692
1,0.7165718079,2.0898370743,0.0285960399
1,0.7095632553,2.0941448212,0.0289058145
1,0.7174117565,2.0911858082,0.0291509032
1,0.7375929356,2.106607914,0.0297196768
