id,x[m],y[m],z[m],t[s],,,,,,,,,
2,0.4942831784,1.2914397702,0.5,144,,,,,-0.7660450402,1.2965534544,,,
2,0.4982149766,1.2516334772,0.5,145,,,,,-0.762113242,1.2567471614,,,
2,0.5030152382,1.2119225532,0.5,146,,,,,-0.7573129804,1.2170362374,,,
2,0.5050815903,1.1719759614,0.5,147,,,,,-0.7552466283,1.1770896456,,,
2,0.5075131584,1.1320499364,0.5,148,,,,,-0.7528150602,1.1371636206,,,
2,0.5120369671,1.0923065702,0.5,149,,,,,-0.7482912515,1.0974202544,,,
2,0.5139805055,1.0523538149,0.5,150,,,,,-0.7463477131,1.0574674991,,,
2,0.5193700637,1.0127185697,0.5,151,,,,,-0.7409581549,1.0178322539,,,
2,0.529071417,0.9739128517,0.5,152,,,,,-0.7312568016,0.9790265359,,,
2,0.5367440522,0.9346556146,0.5,153,,,,,-0.7235841664,0.9397692988,,,
2,0.5413686815,0.8949238539,0.5,154,,,,,-0.7189595371,0.9000375381,,,
2,0.5404711947,0.8549339237,0.5,155,,,,,-0.7198570239,0.8600476079,,,
2,0.5433624604,0.8150385533,0.5,156,,,,,-0.7169657582,0.8201522375,,,
2,0.5486338915,0.7753874245,0.5,157,,,,,-0.7116943271,0.7805011087,,,
2,0.5563329121,0.7361353535,0.5,158,,,,,-0.7039953065,0.7412490377,,,
2,0.5562826689,0.696135385,0.5,159,,,,,-0.7040455497,0.7012490692,,,
2,0.5571059998,0.6561438593,0.5,160,,,,,-0.7032222188,0.6612575435,,,
2,0.5589555266,0.6161866416,0.5,161,,,,,-0.701372692,0.6213003258,,,
3,2.3057864029,3.2317914134,0.5,82,,3,1.0457863157,3.2317078657,0.5,81,,-1.2600000872,-8.35477300000775E-05
3,2.2657870084,3.231571332,0.5,83,,,,,1.0054587898,3.2366850162,,,
3,2.2257916853,3.2309596661,0.5,84,,,,,0.9654634667,3.2360733503,,,
3,2.1858142647,3.2296158506,0.5,85,,,,,0.9254860461,3.2347295348,,,
3,2.1458557445,3.2277946802,0.5,86,,,,,0.8855275259,3.2329083644,,,
3,2.1059577843,3.2249393739,0.5,87,,,,,0.8456295657,3.2300530581,,,
3,2.0661733054,3.2207926595,0.5,88,,,,,0.8058450868,3.2259063437,,,
3,2.0268161441,3.2136502611,0.5,89,,,,,0.7664879255,3.2187639453,,,
3,1.9885703549,3.2019344767,0.5,90,,,,,0.7282421363,3.2070481609,,,
3,1.9530517735,3.1835379994,0.5,91,,,,,0.6927235549,3.1886516836,,,
3,1.9205215158,3.1602617812,0.5,92,,,,,0.6601932972,3.1653754654,,,
3,1.8919866512,3.1322303435,0.5,93,,,,,0.6316584326,3.1373440277,,,
3,1.8674055754,3.1006745086,0.5,94,,,,,0.6070773568,3.1057881928,,,
3,1.8451210549,3.0674570411,0.5,95,,,,,0.5847928363,3.0725707253,,,
3,1.8216392291,3.0350748878,0.5,96,,,,,0.5613110105,3.040188572,,,
3,1.7974235579,3.0032377825,0.5,97,,,,,0.5370953393,3.0083514667,,,
3,1.774722189,2.9703037902,0.5,98,,,,,0.5143939704,2.9754174744,,,
3,1.7504862263,2.9384821292,0.5,99,,,,,0.4901580077,2.9435958134,,,
3,1.723437518,2.9090140552,0.5,100,,,,,0.4631092994,2.9141277394,,,
3,1.6947355918,2.8811536994,0.5,101,,,,,0.4344073732,2.8862673836,,,
3,1.6657506224,2.8535879316,0.5,102,,,,,0.4054224038,2.8587016158,,,
3,1.635208677,2.8277579186,0.5,103,,,,,0.3748804584,2.8328716028,,,
3,1.6041986108,2.802491819,0.5,104,,,,,0.3438703922,2.8076055032,,,
3,1.5777022788,2.7725260986,0.5,105,,,,,0.3173740602,2.7776397828,,,
3,1.5628439013,2.7353881313,0.5,106,,,,,0.3025156827,2.7405018155,,,
3,1.5513209874,2.6970837914,0.5,107,,,,,0.2909927688,2.7021974756,,,
3,1.5444290084,2.6576820069,0.5,108,,,,,0.2841007898,2.6627956911,,,
3,1.5316469855,2.619779238,0.5,109,,,,,0.2713187669,2.6248929222,,,
3,1.5136570059,2.5840530482,0.5,110,,,,,0.2533287873,2.5891667324,,,
3,1.4880099974,2.5533572675,0.5,111,,,,,0.2276817788,2.5584709517,,,
3,1.4553103248,2.5303196588,0.5,112,,,,,0.1949821062,2.535433343,,,
3,1.4163441853,2.5212841748,0.5,113,,,,,0.1560159667,2.526397859,,,
3,1.3765495781,2.5253325373,0.5,114,,,,,0.1162213595,2.5304462215,,,
3,1.3373131278,2.5331107741,0.5,115,,,,,0.0769849092,2.5382244583,,,
3,1.2973643213,2.5310876927,0.5,116,,,,,0.0370361027,2.5362013769,,,
3,1.2577096145,2.5258432453,0.5,117,,,,,-0.0026186041,2.5309569295,,,
3,1.2177099395,2.5260044924,0.5,118,,,,,-0.0426182791,2.5311181766,,,
3,1.1778415323,2.5227625622,0.5,119,,,,,-0.0824866863,2.5278762464,,,
3,1.1384090494,2.5160484512,0.5,120,,,,,-0.1219191692,2.5211621354,,,
3,1.098529063,2.5129522136,0.5,121,,,,,-0.1617991556,2.5180658978,,,
3,1.0594292317,2.5045140152,0.5,122,,,,,-0.2008989869,2.5096276994,,,
3,1.0196940265,2.4999190758,0.5,123,,,,,-0.2406341921,2.50503276,,,
3,0.9797240052,2.4983707234,0.5,124,,,,,-0.2806042134,2.5034844076,,,
3,0.9401043477,2.4928677477,0.5,125,,,,,-0.3202238709,2.4979814319,,,
3,0.901666169,2.4817994858,0.5,126,,,,,-0.3586620496,2.48691317,,,
3,0.8627675297,2.4724776912,0.5,127,,,,,-0.3975606889,2.4775913754,,,
3,0.8250389395,2.4591903482,0.5,128,,,,,-0.4352892791,2.4643040324,,,
3,0.78867848,2.442519506,0.5,129,,,,,-0.4716497386,2.4476331902,,,
3,0.7552123318,2.4206102174,0.5,130,,,,,-0.5051158868,2.4257239016,,,
3,0.72410333,2.3954660331,0.5,131,,,,,-0.5362248886,2.4005797173,,,
3,0.6962305364,2.366776185,0.5,132,,,,,-0.5640976822,2.3718898692,,,
3,0.6734746369,2.3338798473,0.5,133,,,,,-0.5868535817,2.3389935315,,,
3,0.6538237545,2.2990396001,0.5,134,,,,,-0.6065044641,2.3041532843,,,
3,0.6381805548,2.2622253325,0.5,135,,,,,-0.6221476638,2.2673390167,,,
3,0.628724013,2.2233592313,0.5,136,,,,,-0.6316042056,2.2284729155,,,
3,0.6243761217,2.1835962355,0.5,137,,,,,-0.6359520969,2.1887099197,,,
3,0.6178519982,2.1441318742,0.5,138,,,,,-0.6424762204,2.1492455584,,,
3,0.6209685129,2.1042534673,0.5,139,,,,,-0.6393597057,2.1093671515,,,
3,0.6148792327,2.0647196758,0.5,140,,,,,-0.6454489859,2.06983336,,,
3,0.6159648432,2.0247344104,0.5,141,,,,,-0.6443633754,2.0298480946,,,
3,0.6175859899,1.9847672754,0.5,142,,,,,-0.6427422287,1.9898809596,,,
3,0.6230527949,1.9451426108,0.5,143,,,,,-0.6372754237,1.950256295,,,
3,0.6183983798,1.9054143284,0.5,144,,,,,-0.6419298388,1.9105280126,,,
3,0.6217615028,1.8655559616,0.5,145,,,,,-0.6385667158,1.8706696458,,,
3,0.6222268113,1.8255586681,0.5,146,,,,,-0.6381014073,1.8306723523,,,
3,0.6235095756,1.785579242,0.5,147,,,,,-0.636818643,1.7906929262,,,
3,0.622295652,1.7455976663,0.5,148,,,,,-0.6380325666,1.7507113505,,,
3,0.6257245048,1.7057449002,0.5,149,,,,,-0.6346037138,1.7108585844,,,
3,0.626651783,1.6657556497,0.5,150,,,,,-0.6336764356,1.6708693339,,,
3,0.6324684459,1.626180829,0.5,151,,,,,-0.6278597727,1.6312945132,,,
3,0.6322317101,1.5861815296,0.5,152,,,,,-0.6280965085,1.5912952138,,,
3,0.6333285675,1.5461965711,0.5,153,,,,,-0.6269996511,1.5513102553,,,
3,0.6360224167,1.5062873845,0.5,154,,,,,-0.6243058019,1.5114010687,,,
3,0.6400643226,1.466492121,0.5,155,,,,,-0.620263896,1.4716058052,,,
3,0.641683149,1.4265248919,0.5,156,,,,,-0.6186450696,1.4316385761,,,
3,0.6449550575,1.3866589338,0.5,157,,,,,-0.6153731611,1.391772618,,,
3,0.6498748217,1.3469626377,0.5,158,,,,,-0.6104533969,1.3520763219,,,
3,0.660050558,1.308278605,0.5,159,,,,,-0.6002776606,1.3133922892,,,
3,0.6558587007,1.2684988572,0.5,160,,,,,-0.6044695179,1.2736125414,,,
3,0.6653118172,1.2296319228,0.5,161,,,,,-0.5950164014,1.234745607,,,
4,2.1062963065,2.6868073829,0.5,82,,4,0.8458814871,2.6810616474,0.5,81,,-1.2604148194,-0.0057457355
4,2.0711552595,2.7059151514,0.5,83,,,,,0.8108270409,2.7110288356,,,
4,2.0311610575,2.7052341219,0.5,84,,,,,0.7708328389,2.7103478061,,,
4,1.9914042599,2.7008299139,0.5,85,,,,,0.7310760413,2.7059435981,,,
4,1.9514928862,2.6981686645,0.5,86,,,,,0.6911646676,2.7032823487,,,
4,1.9118891656,2.7037851859,0.5,87,,,,,0.651560947,2.7088988701,,,
4,1.8719074987,2.7025742706,0.5,88,,,,,0.6115792801,2.7076879548,,,
4,1.8324697609,2.6958910947,0.5,89,,,,,0.5721415423,2.7010047789,,,
4,1.7933615019,2.6874920429,0.5,90,,,,,0.5330332833,2.6926057271,,,
4,1.7550633529,2.6759485692,0.5,91,,,,,0.4947351343,2.6810622534,,,
4,1.7181330869,2.6605812191,0.5,92,,,,,0.4578048683,2.6656949033,,,
4,1.6831617551,2.6411645779,0.5,93,,,,,0.4228335365,2.6462782621,,,
