cf,x,y,z
6,2.734713316,4.1389598846,0.0270208735
6,2.7358300686,4.1368336678,0.0271202642
6,2.7357096672,4.1360282898,0.0261648074
6,2.7379384041,4.1365671158,0.0262097884
6,2.7377314568,4.1369771957,0.0261627063
6,2.7377154827,4.1365923882,0.0261221547
6,2.7349903584,4.149207592,0.026870653
6,2.7361423969,4.1461424828,0.0269865151
6,2.73787117,4.1523938179,0.0272619165
6,2.7372610569,4.1524152756,0.026369432
6,2.7389624119,4.1487026215,0.0264202524
6,2.7393050194,4.1555299759,0.0266216286
6,2.7405295372,4.1613383293,0.0268926416
6,2.743247509,4.1645579338,0.0280507132
6,2.7431473732,4.1645464897,0.028104784
6,2.7431638241,4.1701750755,0.0283993669
6,2.7430286407,4.1702489853,0.0284698568
6,2.7446286678,4.1765322685,0.0288259294
6,2.7458305359,4.1822252274,0.0279225931
6,2.7455382347,4.1820306778,0.0279419422
6,2.7454812527,4.1817507744,0.0279483125
6,2.7468883991,4.1788964272,0.0280784573
6,2.7481052876,4.1840538979,0.0254161991
6,2.7519214153,4.1908335686,0.0256149564
6,2.7518646717,4.1904196739,0.0255153179
6,2.7523598671,4.1967144012,0.0257066414
6,2.7530825138,4.1971087456,0.0256260969
6,2.7567512989,4.2025976181,0.0255648773
6,2.7604379654,4.2096414566,0.025814781
6,2.7597286701,4.2094860077,0.0257499199
6,2.7639985085,4.2159318924,0.0260817669
6,2.7637615204,4.2155971527,0.0263809506
6,2.7657849789,4.2245812416,0.0268776957
6,2.7694959641,4.2279677391,0.0255813524
6,2.7709538937,4.2247285843,0.0255860537
6,2.7717680931,4.2286963463,0.0256640725
6,2.7727160454,4.2257514,0.0256854445
6,2.7735671997,4.2313838005,0.0258804299
6,2.77805686,4.236471653,0.0265466664
6,2.7807712555,4.2369499207,0.0266163945
6,2.7813241482,4.2420783043,0.0268297344
6,2.7817201614,4.2471966743,0.0270966124
6,2.7820973396,4.247341156,0.0270936321
6,2.7847537994,4.2497606277,0.0265054069
6,2.7864189148,4.2528209686,0.0268008783
6,2.7885770798,4.249792099,0.0269055124
6,2.7894127369,4.2558951378,0.0255370103
6,2.7915296555,4.2581219673,0.0257455148
6,2.7928495407,4.2545881271,0.0257701483
