id,x[m],y[m],z[m],t[s]
5,2.9938786765,2.6734389211,0.5,24
5,3.0338726856,2.6741311919,0.5,25
5,3.0115872137,2.707348021,0.5,26
5,3.0265824756,2.7444309298,0.5,27
5,3.0261693642,2.7844287965,0.5,28
5,3.0207378825,2.8240583184,0.5,29
5,3.0098166979,2.8625385435,0.5,30
5,3.0048415164,2.9022279321,0.5,31
5,2.993096079,2.9404646252,0.5,32
5,2.9798464523,2.9782064772,0.5,33
5,2.964984124,3.0153428637,0.5,34
5,2.9519301906,3.0531528468,0.5,35
5,2.9327824398,3.0882721241,0.5,36
5,2.9208214675,3.1264419439,0.5,37
5,2.9005282742,3.1609120223,0.5,38
5,2.8818158135,3.1962651525,0.5,39
5,2.8631395438,3.2316374149,0.5,40
5,2.8451769099,3.2673773615,0.5,41
5,2.8249985002,3.3019147584,0.5,42
5,2.8054588418,3.3368175054,0.5,43
5,2.7870150521,3.3723115418,0.5,44
5,2.7614734537,3.4030950885,0.5,45
5,2.7355625592,3.4335684465,0.5,46
5,2.7032298693,3.4571183332,0.5,47
5,2.6676865121,3.4754668962,0.5,48
5,2.6318330893,3.4932019482,0.5,49
5,2.5926653067,3.5013188937,0.5,50
5,2.5531463471,3.5075037004,0.5,51
5,2.513848568,3.5149659091,0.5,52
5,2.4748530879,3.5238739129,0.5,53
5,2.4360609671,3.5336294941,0.5,54
5,2.3961465132,3.5362441393,0.5,55
5,2.3569847172,3.5443899194,0.5,56
5,2.3173349796,3.5391080342,0.5,57
5,2.2773376271,3.539568241,0.5,58
5,2.2386682921,3.5293367927,0.5,59
5,2.1999616796,3.519247286,0.5,60
5,2.1745775089,3.5501607762,0.5,61
5,2.1565584038,3.5144492675,0.5,62
5,2.1232694837,3.5366269093,0.5,63
5,2.098262068,3.5054078581,0.5,64
5,2.0712550978,3.534914189,0.5,65
5,2.041617959,3.508050831,0.5,66
5,2.0071788332,3.528396509,0.5,67
5,1.9957538537,3.4900628444,0.5,68
5,2.0148116827,3.5252309997,0.5,69
5,2.0371664898,3.4920607933,0.5,70
5,2.0607414174,3.459746357,0.5,71
5,2.1000433614,3.4671865987,0.5,72
5,2.1113706654,3.4288239582,0.5,73
5,2.1236777936,3.3907643392,0.5,74
5,2.1264499772,3.3508605174,0.5,75
5,2.1216673094,3.3111474705,0.5,76
5,2.1116459497,3.2724231584,0.5,77
5,2.0951475323,3.2359841378,0.5,78
5,2.0717402143,3.2035480859,0.5,79
5,2.0383381781,3.1815411783,0.5,80
5,1.999533782,3.1718345393,0.5,81
6,2.5498052574,1.9409614203,0.5,1
6,2.5577629212,1.9801618742,0.5,2
6,2.5681337381,2.0187940649,0.5,3
6,2.5795214506,2.0571388168,0.5,4
6,2.5923289691,2.0950329783,0.5,5
6,2.6067533702,2.1323416455,0.5,6
6,2.6228222399,2.1689721168,0.5,7
6,2.6388496389,2.2056207523,0.5,8
6,2.6560426368,2.2417372419,0.5,9
6,2.6663659356,2.2803821575,0.5,10
6,2.670889151,2.3201255912,0.5,11
6,2.631805476,2.3116128743,0.5,12
6,2.6366373189,2.3513199681,0.5,13
6,2.6743944492,2.3381139424,0.5,14
6,2.6380915213,2.3549096985,0.5,15
6,2.5992457188,2.3644492809,0.5,16
6,2.6360739597,2.3488390062,0.5,17
6,2.6212310957,2.3859831765,0.5,18
