cont_s_des,cont_s_l,cont_s_f2,cont_s_f3,cont_s_obs[-1],cont_s_obs[-2],cont_s_obs[-3],cont_s_wall
0.7665904981,0.0321335003,0,0,0,0.2012760017,0,0
0.9402656378,0.0224346328,0,0,0,0.0372997294,0,0
0.374577601,0.0114949308,0,0,0,0.6139274682,0,0
0.827905626,0.0192000741,0,0,0,0.1528942999,0,0
0.8444409486,0.0320584379,0,0,0,0.1235006135,0,0
0.9697315575,0.0001067868,0,0,0,0.0301616557,0,0
0.3900222211,0.1148048699,0,0,0,0.4951729089,0,0
0.9411727364,0.0041473791,0,0,0,0.0546798845,0,0
0.8619807151,0.0117629111,0,0,0,0.1262563738,0,0
0.1048197429,0.091044853,0,0,0,0.8041354041,0,0
0.241938851,0.2157180823,0,0,0,0.5423430667,0,0
0.860308518,0.017176539,0,0,0,0.122514943,0,0
0.7395532686,0.1044135384,0,0,0,0.156033193,0,0
0.9091206152,0.0336877343,0,0,0,0.0571916505,0,0
0.0435777049,2.74181302874E-05,0,0,0,0.956394877,0,0
0.0246004825,0.0042269153,0,0,0,0.9711726022,0,0
0.9630752926,0.0235298499,0,0,0,0.0133948575,0,0
0.0968343096,0.003903327,0,0,0,0.8992623634,0,0
0.0163312683,0.0047950989,0,0,0,0.9788736329,0,0
0.2259905108,0.0416077797,0,0,0,0.7324017095,0,0
0.2170213146,0.0562617605,0,0,0,0.7267169249,0,0
0.2871473408,0.0493620145,0,0,0,0.6634906447,0,0
0.1050273937,0.0150406795,0,0,0,0.8799319267,0,0
0.4104746244,0.0117749623,0,0,0,0.5777504133,0,0
0.1680007834,0.1030654509,0,0,0,0.7289337657,0,0
0.3949985871,0.0301616063,0,0,0,0.5748398066,0,0
