
randomseed [1] modified_value [i] x[1.000000] from [1]
drone_no t delta_des delta_l delta_f2 delta_f3 delta_obs[-1] delta_obs[-2] delta_obs[-3] delta_wall cont_s_des cont_s_l cont_s_f2 cont_s_f3 cont_s_obs[-1] cont_s_obs[-2] cont_s_obs[-3] cont_s_wall dist_d_obs_ltr dist_d_obs_dia dist_d_obs_btt relative_s_obs_dia dist_first_saw dist_biggest_infl dist_closest accu_infl max_relative_s extra_dist_with_1st extra_dist_with_2nd extra_dist_with_3rd 
1 31 0.0394420406665 0.0440955913744 0.0 0.000437763783064 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.16101454829 0.707906714067 0.923636062351 0.110184187847 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 32 0.056226242975 0.0157431531517 0.0 6.62967254998e-05 0.0 0.00126739966409 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.23554936587 0.629578761927 0.914786843976 0.0655631161848 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 33 0.025836121365 0.0011991721348 0.0 0.0 0.0 0.0518516792664 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.23199583411 0.598135853596 0.886061867744 0.00214193815097 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 34 0.0228470134061 0.0034426444438 0.0 0.0 0.0 0.0570167797113 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.15694636143 0.520873800668 0.877387376206 0.0868057632628 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 35 0.0299631336048 0.00222908915374 0.0 0.0 0.0 0.0467909840691 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.18774239352 0.527105434173 0.885640736302 0.203936464753 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 36 0.0495556812134 0.00304066944983 0.0 0.0 0.0 0.0328835642665 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.26310460757 0.45174020081 0.877227318761 0.155801826188 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 37 0.0672873809681 0.000971094883074 0.0 0.0 0.0 0.0048868036469 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.28905260081 0.455557724421 0.879682393787 0.264046307345 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 38 0.0567063376327 0.000618373099738 0.0 0.0 0.0 0.0198737168463 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.2133304831 0.384056478415 0.871560406101 0.22311189155 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 39 0.0624765593338 8.93589538756e-05 0.0 0.0 0.0 0.0150302549856 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.21563556305 0.369281135631 0.85093088453 0.186599710591 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 40 0.0656291275152 0.00118219955894 0.0 0.0 0.0 6.53852738876e-05 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.29180326196 0.307583389735 0.84309065857 0.214709644072 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 41 0.0538253875058 0.000995589005886 0.0 0.0 0.0 0.0233872824278 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.3279162467 0.33908688771 0.864018502013 0.214594406693 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 42 0.0716475832966 0.000962600154236 0.0 0.0 0.0 0.00191524556738 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.25156345532 0.292221175965 0.85648137672 0.218996858619 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 43 0.0640707613713 0.000970091283134 0.0 0.0 0.0 0.0 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.28046145174 0.322920238523 0.867615870435 0.205528657029 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 44 0.0631724146082 0.000440207747579 0.0 0.0 0.0 0.00585505367955 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.35709393343 0.294421089257 0.860433434123 0.290495344267 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
1 45 0.0771343106867 0.00080283672213 0.0 0.0 0.0 0.000729525276451 0.0 0.0 to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed to_be_removed 2.3736653241 0.323141751812 0.857702970061 0.268648818713 to_be_removed to_be_removed to_be_removed to_be_removed 0.749756861789 to_be_removed to_be_removed to_be_removed
