size	ver	log	param	vari.	rollback	rollback	standard	size_r	mean:	f1	f2	f3	var:	f1	f2	f3
0.7	y	[log]	r	x2.0	rollback	160.csv	0.07	0.793650793650794subset's	mean:	0.144255908	-0.124913184	-0.078691816	var:	0.007852591	0.012517315	0.010118693
0.7	x	[log]	r	x2.0	rollback	180.csv	0.045	0.761904761904762subset's	mean:	-0.252496655	-0.407257147	-0.559732352	var:	0.013523073	0.016834098	0.005741284
0.7	y	[log]	r	x2.0	rollback	180.csv	0.045	0.761904761904762subset's	mean:	0.137637305	-0.172513734	-0.124260702	var:	0.00316785	0.010243628	0.006909425
0.7	x	[log]	r	x2.0	rollback	20.csv	0.0325	0.769230769230769subset's	mean:	-0.178015929	-0.488641403	-0.452130593	var:	0.009049194	0.004302447	0.007058719
0.7	y	[log]	r	x2.0	rollback	20.csv	0.0325	0.769230769230769subset's	mean:	0.157296813	-0.175507384	-0.001672224	var:	0.006768712	0.007729663	0.008343005
0.7	x	[log]	r	x2.0	rollback	200.csv	0.045	0.78125subset's	mean:	-0.253209219	-0.419012519	-0.589775965	var:	0.018956283	0.01942866	0.005062446
0.7	y	[log]	r	x2.0	rollback	200.csv	0.045	0.78125subset's	mean:	0.152518259	-0.17098049	-0.098968975	var:	0.002663367	0.008421138	0.008019677
0.7	x	[log]	r	x2.0	rollback	220.csv	0.045	0.746031746031746subset's	mean:	-0.225067388	-0.461762238	-0.610350857	var:	0.013638576	0.025894002	0.005170094
0.7	y	[log]	r	x2.0	rollback	220.csv	0.045	0.746031746031746subset's	mean:	0.159296604	-0.168389574	-0.075759593	var:	0.002661853	0.007886404	0.006530332
0.7	x	[log]	r	x2.0	rollback	240.csv	0.045	0.765625subset's	mean:	-0.246966225	-0.439236487	-0.588057305	var:	0.013758054	0.036711865	0.006809682
0.7	y	[log]	r	x2.0	rollback	240.csv	0.045	0.765625subset's	mean:	0.139204481	-0.172979907	-0.115064281	var:	0.003255999	0.009825368	0.006027505
0.7	x	[log]	r	x2.0	rollback	40.csv	0.045	0.784615384615385subset's	mean:	-0.17103944	-0.506867368	-0.46108531	var:	0.008819434	0.004734894	0.008056053
0.7	y	[log]	r	x2.0	rollback	40.csv	0.045	0.784615384615385subset's	mean:	0.154485632	-0.169712437	-0.007031252	var:	0.007635399	0.007133085	0.009243314
0.7	x	[log]	r	x2.0	rollback	60.csv	0.03875	0.753846153846154subset's	mean:	-0.200607509	-0.542573397	-0.53161301	var:	0.010304344	0.00355349	0.013814171
0.7	y	[log]	r	x2.0	rollback	60.csv	0.03875	0.753846153846154subset's	mean:	0.139333464	-0.196159071	-0.014609127	var:	0.006876328	0.005386155	0.009391363
0.7	x	[log]	r	x2.0	rollback	80.csv	0.0325	0.707692307692308subset's	mean:	-0.206503285	-0.548232987	-0.525366973	var:	0.010723861	0.003369864	0.013598425
0.7	y	[log]	r	x2.0	rollback	80.csv	0.0325	0.707692307692308subset's	mean:	0.157733965	-0.195561881	-0.027295786	var:	0.00390752	0.004638448	0.010243949
0.5	x	[log]	3rd	pure.csv			0.01453125	0.584615384615385subset's	mean:	-0.169943425	-0.467420475	-0.438122073	var:	0.008644995	0.004351285	0.001221157
0.5	y	[log]	3rd	pure.csv			0.01453125	0.584615384615385subset's	mean:	0.168578002	-0.206851743	-0.139004756	var:	0.001695787	0.000755692	0.016255724
0.5	x	[log]	a	x0.2	rollback	0.csv	0.095	0.549019607843137subset's	mean:	-0.191270945	-0.291128024	-0.458975423	var:	0.069506398	0.007756646	0.017311129
0.5	y	[log]	a	x0.2	rollback	0.csv	0.095	0.549019607843137subset's	mean:	0.03339728	0.115292355	-0.042897227	var:	0.019929647	0.811559782	0.002402459
0.5	x	[log]	a	x0.2	rollback	100.csv	0.1075	0.546875subset's	mean:	-0.326412832	-0.070742528	-0.371797675	var:	0.565080681	0.208476059	0.14999162
0.5	y	[log]	a	x0.2	rollback	100.csv	0.1075	0.546875subset's	mean:	0.177225325	-0.215424436	-0.023957243	var:	0.00522111	0.006339911	0.010241844
0.5	x	[log]	a	x0.2	rollback	120.csv	0.12	0.6subset's	mean:	-0.268348456	-0.078197423	-0.336815274	var:	0.543782083	0.241187614	0.196376087
0.5	y	[log]	a	x0.2	rollback	120.csv	0.12	0.6subset's	mean:	0.160040089	-0.21006968	-0.018907971	var:	0.0112032	0.004798879	0.009172755
0.5	x	[log]	a	x0.2	rollback	140.csv	0.1575	0.525423728813559subset's	mean:	-0.286079606	-0.098220302	-0.31218292	var:	0.278743046	0.194162628	0.163300675
0.5	y	[log]	a	x0.2	rollback	140.csv	0.1575	0.525423728813559subset's	mean:	0.126467046	-0.170263384	-0.041973064	var:	0.01997626	0.013600739	0.013119127
0.5	x	[log]	a	x0.2	rollback	160.csv	0.095	0.5subset's	mean:	-0.204151932	-0.365222062	-0.414683393	var:	0.1385435	0.117165932	0.044627835
0.5	y	[log]	a	x0.2	rollback	160.csv	0.095	0.5subset's	mean:	0.019665881	0.363734367	-0.02706859	var:	0.024633727	0.879257558	0.005835894
0.5	x	[log]	a	x0.2	rollback	180.csv	0.12	0.535714285714286subset's	mean:	0.245872254	-0.429859002	0.320526204	var:	0.048669578	0.476031646	0.054420165
0.5	y	[log]	a	x0.2	rollback	180.csv	0.12	0.535714285714286subset's	mean:	-0.118373423	-1.142087796	-0.078339118	var:	0.05112897	1.001110921	0.035477496
0.5	x	[log]	a	x0.2	rollback	20.csv	0.01375	0.507692307692308subset's	mean:	-0.171378303	-0.465673483	-0.475628265	var:	0.005553202	0.005221463	0.002370015
0.5	y	[log]	a	x0.2	rollback	20.csv	0.01375	0.507692307692308subset's	mean:	0.190092911	-0.226901218	-0.020035057	var:	0.002704435	0.000666944	0.013801453
0.5	x	[log]	a	x0.2	rollback	200.csv	0.095	0.53448275862069subset's	mean:	-0.216721006	-0.544426781	-0.425107932	var:	0.069690515	0.081219442	0.016288829
0.5	y	[log]	a	x0.2	rollback	200.csv	0.095	0.53448275862069subset's	mean:	-0.059230579	1.121833319	-0.125657935	var:	0.022945233	1.365802199	0.002622287
0.5	x	[log]	a	x0.2	rollback	220.csv	0.095	0.518518518518518subset's	mean:	0.056890401	1.447004311	0.092771833	var:	0.052459022	0.973764913	0.009726025
0.5	y	[log]	a	x0.2	rollback	220.csv	0.095	0.518518518518518subset's	mean:	0.165129349	-0.167489283	0.399184678	var:	0.020790801	0.332002831	0.017540873
0.5	x	[log]	a	x0.2	rollback	240.csv	0.095	0.537037037037037subset's	mean:	-0.06204716	0.087945283	-0.263900128	var:	0.04855707	0.640876226	0.010571595
0.5	y	[log]	a	x0.2	rollback	240.csv	0.095	0.537037037037037subset's	mean:	0.180797031	0.281067404	0.266327123	var:	0.076997474	0.355484856	0.070972116
0.5	x	[log]	a	x0.2	rollback	40.csv	0.02	0.6subset's	mean:	-0.19039929	-0.501184086	-0.527147956	var:	0.006156022	0.006172336	0.007637456
0.5	y	[log]	a	x0.2	rollback	40.csv	0.02	0.6subset's	mean:	0.172486934	-0.224501415	-0.012747524	var:	0.004699609	0.002015904	0.005162408
0.5	x	[log]	a	x0.2	rollback	60.csv	0.02	0.523076923076923subset's	mean:	-0.268664278	-0.611805423	-0.537187866	var:	0.003120971	0.001715433	0.016904224
0.5	y	[log]	a	x0.2	rollback	60.csv	0.02	0.523076923076923subset's	mean:	0.132976232	-0.234492746	0.044383203	var:	0.000724976	0.000560502	0.001819818
0.5	x	[log]	a	x0.2	rollback	80.csv	0.02	0.538461538461538subset's	mean:	-0.280636404	-0.536565868	-0.534547667	var:	0.00347951	0.00354523	0.00502187
0.5	y	[log]	a	x0.2	rollback	80.csv	0.02	0.538461538461538subset's	mean:	0.1318987	-0.237669616	0.027322716	var:	0.000644157	0.000577325	0.000163249
0.5	x	[log]	a	x2.0	rollback	0.csv	0.010625	0.5625subset's	mean:	-0.081082078	-0.4836573	-0.379032343	var:	0.005957229	0.001579568	0.000392252
0.5	y	[log]	a	x2.0	rollback	0.csv	0.010625	0.5625subset's	mean:	0.191991188	-0.208736242	0.022526874	var:	0.000596304	0.000349711	6.85E-05
0.5	x	[log]	a	x2.0	rollback	100.csv	0.0090625	0.515625subset's	mean:	-0.124396856	-0.492171946	-0.372606281	var:	0.006572763	0.002359008	4.43E-05
0.5	y	[log]	a	x2.0	rollback	100.csv	0.0090625	0.515625subset's	mean:	0.17504578	-0.164763199	0.016919573	var:	0.001037653	0.007044817	8.51E-05
0.5	x	[log]	a	x2.0	rollback	120.csv	0.010625	0.515625subset's	mean:	-0.115980931	-0.474884919	-0.367403514	var:	0.004196945	0.001165171	0.001443174
0.5	y	[log]	a	x2.0	rollback	120.csv	0.010625	0.515625subset's	mean:	0.180490489	-0.207696097	0.003283162	var:	0.000748742	0.000116607	0.003744784
0.5	x	[log]	a	x2.0	rollback	140.csv	0.010625	0.5subset's	mean:	-0.09209849	-0.480295102	-0.391127973	var:	0.003894969	0.000273074	0.000511638
0.5	y	[log]	a	x2.0	rollback	140.csv	0.010625	0.5subset's	mean:	0.189396972	-0.214413515	0.015896601	var:	0.000471593	6.90E-05	1.06E-05
0.5	x	[log]	a	x2.0	rollback	160.csv	0.0121875	0.515625subset's	mean:	-0.086951663	-0.486890704	-0.384078334	var:	0.008003866	0.001707065	0.001365295
0.5	y	[log]	a	x2.0	rollback	160.csv	0.0121875	0.515625subset's	mean:	0.187026406	-0.194789031	0.015735865	var:	0.000716055	0.000344332	8.00E-05
0.5	x	[log]	a	x2.0	rollback	180.csv	0.010625	0.515625subset's	mean:	-0.105864029	-0.502778531	-0.369663637	var:	0.003200923	0.002564256	0.001554718
0.5	y	[log]	a	x2.0	rollback	180.csv	0.010625	0.515625subset's	mean:	0.184055687	-0.18380164	0.016765887	var:	0.000580109	0.002037056	7.31E-05
0.5	x	[log]	a	x2.0	rollback	20.csv	0.01375	0.569230769230769subset's	mean:	-0.187581234	-0.481249899	-0.394818881	var:	0.007106653	0.003262344	0.003371918
0.5	y	[log]	a	x2.0	rollback	20.csv	0.01375	0.569230769230769subset's	mean:	0.151759277	-0.20478889	-0.057575514	var:	0.001028399	0.00058105	0.011254837
0.5	x	[log]	a	x2.0	rollback	200.csv	0.0090625	0.515625subset's	mean:	-0.075456185	-0.502106995	-0.362571438	var:	0.006996104	0.002666667	0.00079228
0.5	y	[log]	a	x2.0	rollback	200.csv	0.0090625	0.515625subset's	mean:	0.191585451	-0.196408559	0.020367982	var:	0.000791052	0.000984487	9.52E-05
0.5	x	[log]	a	x2.0	rollback	220.csv	0.010625	0.578125subset's	mean:	-0.09280542	-0.467105335	-0.353213887	var:	0.006422629	0.000407921	0.001410527
0.5	y	[log]	a	x2.0	rollback	220.csv	0.010625	0.578125subset's	mean:	0.18665942	-0.220139472	0.020151963	var:	0.000739297	0.000148807	6.95E-05
0.5	x	[log]	a	x2.0	rollback	240.csv	0.010625	0.515625subset's	mean:	-0.120888538	-0.505778989	-0.370938403	var:	0.003147827	0.001655102	0.000947118
0.5	y	[log]	a	x2.0	rollback	240.csv	0.010625	0.515625subset's	mean:	0.178861779	-0.194056098	0.018817931	var:	0.000665793	0.000863423	0.000145917
0.5	x	[log]	a	x2.0	rollback	40.csv	0.01375	0.569230769230769subset's	mean:	-0.185951006	-0.509476113	-0.440501048	var:	0.00864777	0.000705356	0.010396553
0.5	y	[log]	a	x2.0	rollback	40.csv	0.01375	0.569230769230769subset's	mean:	0.15507089	-0.2025292	-0.037191066	var:	0.001076926	0.000724202	0.008925159
0.5	x	[log]	a	x2.0	rollback	60.csv	0.0090625	0.53125subset's	mean:	-0.129022008	-0.444008845	-0.425071034	var:	0.003029276	0.007442027	6.94E-06
0.5	y	[log]	a	x2.0	rollback	60.csv	0.0090625	0.53125subset's	mean:	0.175956236	-0.209172678	0.00753877	var:	0.000628224	8.25E-05	8.36E-06
0.5	x	[log]	a	x2.0	rollback	80.csv	0.010625	0.59375subset's	mean:	-0.132779801	-0.505526271	-0.412623224	var:	0.003218115	0.001201208	0.004585985
0.5	y	[log]	a	x2.0	rollback	80.csv	0.010625	0.59375subset's	mean:	0.17496063	-0.217392943	0.012139022	var:	0.000655582	6.52E-06	4.75E-05
0.5	x	[log]	b	x0.2	rollback	0.csv	0.07	0.6subset's	mean:	-0.300006657	-0.684533688	-0.548954282	var:	0.018226364	0.03368887	0.005056685
0.5	y	[log]	b	x0.2	rollback	0.csv	0.07	0.6subset's	mean:	0.135532445	-0.136630468	-0.049381644	var:	0.000699116	0.005567864	0.005804314
