80,randomseed,[1],modified_value,[r],x[0.200000],from,[245],simul_tick,[326],-3,-0.2026752761,-1.7962284927,-0.287489996,-1.6213718456,-0.6354328749,-2.0431418168,-0.5819107657,-1.8314915565,17.19,2.05,0.114,-1.85,-2.05,0.99,0.1222823178,-1.7378095165,-0.1599667261,-1.6361459675,-0.1068854202,-1.9314125842,-0.3891344642,-1.8297490352,False,null,null,326,null
80,randomseed,[1],modified_value,[r],x[0.200000],from,[245],simul_tick,[326],-4,-0.2418985031,-1.8040731381,-0.3269119009,-1.6281477892,-0.6747771193,-2.0503550291,-0.6212411554,-1.8387799339,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1601805446,-1.6367415623,-0.1064765292,-1.9318955539,-0.3889393916,-1.8308275997,False,null,null,326,null
100,randomseed,[1],modified_value,[r],x[0.200000],from,[225],simul_tick,[323],-1,-0.1120093519,-1.7778446976,-0.2705031257,-1.64319118,-0.6502406718,-2.0323378249,-0.5615611028,-1.8220659628,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1590787392,-1.6337136202,-0.1085479013,-1.9294273913,-0.3899089582,-1.8253314951,True,L,2ndO,227,null
100,randomseed,[1],modified_value,[r],x[0.200000],from,[225],simul_tick,[323],-2,-0.1512810403,-1.7854430189,-0.3100908416,-1.6489194213,-0.6897887474,-2.0383336335,-0.600707047,-1.8302875838,17.07,2.05,0.142,-1.85,-2.05,0.97,0.1222823178,-1.7378095165,-0.1594053567,-1.6346007279,-0.1079429523,-1.9301538042,-0.3896306267,-1.8269450156,True,L,2ndO,227,null
100,randomseed,[1],modified_value,[r],x[0.200000],from,[225],simul_tick,[323],-3,-0.1905042674,-1.7932876643,-0.3493584583,-1.6565387571,-0.7293416711,-2.0442973763,-0.6400309609,-1.8376108207,17.01,2.05,0.156,-1.85,-2.05,0.96,0.1184447664,-1.7385112186,-0.1635596353,-1.6361710144,-0.1111866511,-1.9315640924,-0.3931910528,-1.8292238883,True,L,2ndO,227,null
100,randomseed,[1],modified_value,[r],x[0.200000],from,[225],simul_tick,[323],-4,-0.2295913219,-1.80178485,-0.3884691943,-1.6649262675,-0.7689631015,-2.0497875723,-0.6792459827,-1.8454963813,16.95,2.05,0.17,-1.85,-2.05,0.95,0.0672928595,-1.7478644223,-0.2151375617,-1.6467058479,-0.1615282463,-1.9418770547,-0.4439586675,-1.8407184804,True,L,2ndO,227,null
120,randomseed,[1],modified_value,[r],x[0.200000],from,[205],simul_tick,[323],-1,-0.1105705631,-1.7760942485,-0.2606421609,-1.6350910867,-0.6354525853,-2.0362366488,-0.566777815,-1.8223245319,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1222823178,-1.7378095165,-0.1584189544,-1.631947362,-0.1097476334,-1.9279728719,-0.3904489057,-1.8221107174,True,f2,f3,208,null
120,randomseed,[1],modified_value,[r],x[0.200000],from,[205],simul_tick,[323],-2,-0.149781187,-1.7840016487,-0.2996863376,-1.6437831675,-0.6748297579,-2.0432678845,-0.6057032179,-1.8315339297,17.07,2.05,0.142,-1.85,-2.05,0.97,0.1222823178,-1.7378095165,-0.1589679962,-1.6334147806,-0.1087513325,-1.9291820653,-0.3900016465,-1.8247873294,True,f2,f3,208,null
120,randomseed,[1],modified_value,[r],x[0.200000],from,[205],simul_tick,[323],-3,-0.1889558525,-1.7920853099,-0.3388650853,-1.6518470207,-0.7141133761,-2.0508042855,-0.6451324422,-1.8382671514,17.01,2.05,0.156,-1.85,-2.05,0.96,0.1184447664,-1.7385112186,-0.1632587951,-1.6353458007,-0.111750887,-1.9308909502,-0.3934544485,-1.8277255324,True,f2,f3,208,null
120,randomseed,[1],modified_value,[r],x[0.200000],from,[205],simul_tick,[323],-4,-0.2280429071,-1.8005824957,-0.3778854916,-1.6606451964,-0.7536168729,-2.0570870989,-0.6844901562,-1.8454065036,16.95,2.05,0.17,-1.85,-2.05,0.95,0.0672928595,-1.7478644223,-0.2148306759,-1.6458530957,-0.1621133085,-1.9411849077,-0.4442368439,-1.8391735812,True,f2,f3,208,null
140,randomseed,[1],modified_value,[r],x[0.200000],from,[185],simul_tick,[326],-1,-0.1488851783,-1.7870528184,-0.3091648618,-1.652889424,-0.5436080603,-2.0357098785,-0.6919883475,-1.877230512,17.31,2.05,0.086,-1.85,-2.05,1.01,0.1732610032,-1.7480649365,-0.1026868541,-1.6303671028,-0.0666422394,-1.9281938742,-0.3425900967,-1.8104960406,True,L,2ndO,230,null
140,randomseed,[1],modified_value,[r],x[0.200000],from,[185],simul_tick,[326],-2,-0.1884324271,-1.7930540781,-0.3487904059,-1.6583498503,-0.5829230919,-2.0430806516,-0.7310499229,-1.8858440669,17.25,2.05,0.1,-1.85,-2.05,1,0.1222823178,-1.7378095165,-0.1597715612,-1.6356057528,-0.1072556774,-1.9309734591,-0.3893095565,-1.8287696955,True,L,2ndO,230,null
140,randomseed,[1],modified_value,[r],x[0.200000],from,[185],simul_tick,[326],-3,-0.2275685602,-1.8013222752,-0.3880882563,-1.6658116836,-0.6222381234,-2.0504514247,-0.7701114983,-1.8944576218,17.19,2.05,0.114,-1.85,-2.05,0.99,0.1222823178,-1.7378095165,-0.1601403942,-1.6366294209,-0.1065535713,-1.9318047119,-0.3889762833,-1.8306246164,True,L,2ndO,230,null
140,randomseed,[1],modified_value,[r],x[0.200000],from,[185],simul_tick,[326],-4,-0.2668664502,-1.8087838999,-0.4272563224,-1.6739272608,-0.6617281632,-2.0568182728,-0.8092339418,-1.9027903532,17.13,2.05,0.128,-1.85,-2.05,0.98,0.1184447664,-1.7385112186,-0.1640597918,-1.6375598709,-0.1102339443,-1.9326916688,-0.3927385025,-1.8317403212,True,L,2ndO,230,null
160,randomseed,[1],modified_value,[r],x[0.200000],from,[165],simul_tick,[329],-1,-0.2007052745,-1.7943611512,-0.3771332002,-1.6672891429,-0.5892163717,-2.0337553063,-0.7781948572,-1.9015148728,17.49,2.05,0.044,-1.85,-2.05,1.04,0.1222823178,-1.7378095165,-0.1595020637,-1.6348650541,-0.1077623926,-1.9303697181,-0.3895467741,-1.8274252557,True,L,2ndO,234,null
